Team,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Indiana Pacers,0.475,0.374,0.517,0.752,9.3,33.7,43.0,26.0,8.7,4.9,13.7,19.4,108.0,2018
Phoenix Suns,0.459,0.329,0.525,0.779,9.1,31.3,40.4,23.9,9.0,5.1,15.6,23.6,107.5,2018
Orlando Magic,0.454,0.356,0.509,0.782,10.0,35.4,45.4,25.5,6.6,5.4,13.2,18.6,107.3,2018
Detroit Pistons,0.44,0.348,0.5,0.747,11.4,33.6,45.0,22.5,6.9,4.0,13.8,22.1,107.0,2018
Miami Heat,0.45,0.349,0.509,0.695,11.2,35.1,46.3,24.3,7.6,5.5,14.7,20.9,105.7,2018
Chicago Bulls,0.453,0.351,0.496,0.783,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,104.9,2018
New York Knicks,0.433,0.34,0.479,0.759,10.5,34.3,44.7,20.1,6.8,5.1,14.0,20.9,104.6,2018
Cleveland Cavaliers,0.444,0.355,0.488,0.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20.0,104.5,2018
Memphis Grizzlies,0.45,0.342,0.505,0.772,8.8,33.0,41.8,23.9,8.3,5.5,14.0,22.0,103.5,2018
Milwaukee Bucks,0.476,0.355,0.567,0.742,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7,2019
Houston Rockets,0.451,0.345,0.557,0.791,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8,2019
Dallas Mavericks,0.461,0.367,0.541,0.779,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117.0,2019
Los Angeles Clippers,0.466,0.371,0.522,0.791,10.7,37.0,47.7,23.7,7.1,4.7,14.6,22.1,116.3,2019
New Orleans Pelicans,0.465,0.37,0.528,0.729,11.1,35.4,46.5,26.8,7.5,5.0,16.4,21.2,115.8,2019
Portland Trail Blazers,0.463,0.377,0.514,0.804,10.2,35.1,45.3,20.6,6.3,6.1,12.8,21.7,115.0,2019
Washington Wizards,0.457,0.368,0.506,0.788,10.2,31.9,42.0,25.0,8.0,4.3,14.2,22.7,114.4,2019
San Antonio Spurs,0.472,0.376,0.516,0.81,9.0,35.6,44.6,24.7,7.3,5.5,12.6,19.4,114.1,2019
Boston Celtics,0.461,0.364,0.522,0.801,10.7,35.4,46.1,23.0,8.3,5.6,13.8,21.6,113.7,2019
Phoenix Suns,0.468,0.358,0.529,0.834,9.8,33.8,43.5,27.2,7.7,4.0,14.8,22.0,113.6,2019
Los Angeles Lakers,0.48,0.349,0.552,0.729,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4,2019
Minnesota Timberwolves,0.441,0.336,0.521,0.753,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3,2019
Toronto Raptors,0.458,0.374,0.519,0.796,9.5,35.9,45.4,25.2,8.8,5.0,14.8,21.7,112.8,2019
Memphis Grizzlies,0.468,0.347,0.532,0.763,10.3,36.2,46.5,26.9,7.9,5.5,15.2,21.2,112.6,2019
Miami Heat,0.468,0.379,0.532,0.783,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112.0,2019
Atlanta Hawks,0.449,0.333,0.525,0.79,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,111.8,2019
Brooklyn Nets,0.448,0.343,0.524,0.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8,2019
Denver Nuggets,0.473,0.359,0.533,0.777,10.8,33.4,44.1,26.7,8.0,4.6,13.8,20.3,111.3,2019
Utah Jazz,0.471,0.38,0.535,0.779,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3,2019
Philadelphia 76ers,0.468,0.368,0.524,0.755,10.5,35.0,45.4,25.8,8.0,5.3,14.2,20.9,110.7,2019
Oklahoma City Thunder,0.468,0.355,0.529,0.796,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4,2019
Sacramento Kings,0.462,0.364,0.527,0.77,9.7,32.9,42.6,23.8,7.7,4.1,14.5,22.2,110.1,2019
Indiana Pacers,0.476,0.363,0.529,0.787,8.7,34.1,42.8,25.9,7.4,5.2,13.2,19.8,109.4,2019
Orlando Magic,0.444,0.343,0.502,0.774,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3,2019
Detroit Pistons,0.459,0.367,0.515,0.743,9.8,32.0,41.7,24.1,7.4,4.5,15.3,19.7,107.2,2019
Cleveland Cavaliers,0.458,0.351,0.519,0.758,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9,2019
Chicago Bulls,0.447,0.348,0.511,0.755,10.5,31.4,41.9,23.2,10.0,4.1,15.5,21.8,106.8,2019
Golden State Warriors,0.438,0.334,0.495,0.803,10.0,32.9,42.8,25.6,8.2,4.6,14.9,20.1,106.3,2019
New York Knicks,0.447,0.337,0.499,0.694,12.0,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8,2019
Charlotte Hornets,0.434,0.352,0.489,0.748,11.0,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9,2019
Milwaukee Bucks,0.487,0.389,0.554,0.76,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1,2020
